X,Y,Z,Digit
8.570426,7.5486994,7.398036,1
8.108516,7.6088753,5.603793,0
8.686813,10.033451,6.528171,0
7.899959,8.261565,7.0858297,0
8.435442,7.658552,7.367627,1
8.457181,9.790202,4.363441,1
9.507109,9.105621,6.0934143,0
9.305454,9.130949,6.3415933,0
8.525201,9.159388,6.026132,0
8.18461,10.04521,6.0646076,0
8.075981,9.346701,6.2789073,1
8.284454,7.917006,7.3920865,0
7.9554286,6.6421237,7.661234,0
8.193446,8.949406,3.9027028,0
8.986264,8.301824,4.460703,0
7.233768,7.915749,6.176249,0
8.933232,9.840093,6.223223,0
9.552443,8.138377,7.150114,0
9.854807,8.157294,6.116726,0
7.242042,7.6708503,7.858336,0
7.075101,8.2146,5.785399,0
9.185945,9.6893425,6.1586227,0
8.432311,8.420622,5.1226764,0
8.1553955,7.3762903,7.003647,0
9.182864,8.6254015,5.1528487,0
9.008904,7.1255774,7.43978,0
8.235574,9.488618,4.167396,1
7.2258415,7.857169,6.7263994,0
9.391276,7.3708572,7.5248013,0
8.039511,6.395326,7.6191797,0
8.567351,7.2457757,7.9658113,0
8.898522,7.6030474,7.7300196,0
8.233774,7.3693247,5.3280745,0
8.279616,7.1574016,6.4228773,0
6.381154,9.768147,4.5661154,1
9.9602585,8.347159,5.652298,0
8.841579,7.4713545,5.205334,0
7.462761,7.6565385,5.644753,0
7.521152,7.0441546,6.015085,0
8.095908,7.984126,8.444907,0
8.914098,8.416151,7.3466105,0
8.591631,8.869716,6.475076,0
6.2102156,8.789739,4.775205,0
7.2022395,8.972557,4.2425494,0
8.655827,7.9612417,8.280324,0
8.61589,7.2817225,7.9152493,1
8.32512,8.392971,6.1479816,1
9.017193,7.760409,6.2031703,0
8.918873,8.877216,6.2870646,0
8.096626,6.431997,7.423401,0
7.748343,7.8355627,7.3610706,0
7.581212,8.007783,6.9870143,0
7.3598585,7.229185,7.2537622,0
6.9793005,9.001691,4.0590777,0
7.815991,9.368667,5.110876,0
8.053454,7.34684,5.131479,0
8.820986,7.807089,5.9765115,0
7.7122355,6.6953897,7.395773,0
8.68647,7.2587967,5.553294,0
9.624398,9.30119,5.177282,0
8.105648,10.170241,6.304113,1
7.1463423,7.8812447,6.2585526,1
9.04495,9.568068,5.904268,0
9.094673,9.659384,5.3372583,0
8.54144,8.880132,3.9925885,0
9.170917,8.520574,6.4282813,0
8.470158,8.285813,7.5263934,0
8.575449,8.791483,4.183576,0
9.946241,8.401907,5.509335,0
7.5700173,8.191391,7.8367376,0
7.9463034,7.3016706,5.099298,0
7.8884225,7.8279376,5.518471,0
6.460063,9.340493,4.4493685,0
7.361049,7.7822413,8.00299,0
9.099467,9.382141,4.7851176,0
6.245881,9.156842,4.627272,0
9.736653,8.378912,8.023553,1
7.889294,9.048077,6.235891,0
8.48574,9.429823,4.3571777,0
9.966923,8.3463745,5.8264036,0
9.928194,8.260656,5.5791273,0
6.1920037,9.054345,4.6757345,0
8.913211,8.897456,6.192191,0
6.0437136,9.012587,5.0532985,1
9.989266,8.63902,5.388384,0
9.615048,7.413737,7.332128,1
8.613374,8.524996,4.5592546,0
6.5284014,9.80241,4.6517243,1
9.520775,7.373175,7.304892,1
9.336824,7.0434,6.789255,1
8.570516,8.218397,8.069086,0
7.350163,6.6644917,6.845211,1
8.751656,7.623552,7.764606,0
7.8361373,6.477805,7.4103065,1
7.314042,8.759654,7.527633,0
6.4041147,8.885418,4.876573,0
6.0133414,8.783695,4.808658,0
6.4485593,8.273015,4.8419213,0
8.593105,8.179937,7.9704065,0
8.863902,7.3870015,6.120064,0
6.2862377,9.767769,4.6666937,1
6.971145,9.014443,4.1033144,0
7.1522555,9.024645,6.566829,0
9.012188,9.311452,4.7492757,0
8.408913,7.3418865,5.2102394,0
6.4164515,9.958255,4.7698975,1
9.015302,8.094444,8.331449,0
7.7683415,7.6735396,5.441762,0
7.990694,9.06385,3.8456614,0
8.602733,7.9324274,5.3275228,0
8.413245,7.694747,7.8653812,0
6.3557796,9.260548,4.662738,0
8.181957,8.845779,5.7644625,0
8.511499,9.791397,4.4467278,0
8.096701,8.979367,5.189262,0
6.874644,7.908319,6.5476103,0
8.235565,9.420989,5.595666,0
7.208938,7.7885075,7.2237697,0
6.0759363,8.394106,5.4449725,0
8.476558,8.765892,5.4550924,0
8.345031,7.4414062,6.0951223,0
8.67361,7.976325,7.996169,0
8.145853,8.0756035,8.416529,0
8.875201,8.110965,8.332931,0
8.898897,8.458492,7.6197224,0
6.6328487,8.659451,4.6825156,0
6.608374,8.046321,6.304422,0
6.975699,8.836505,5.4480424,0
9.03491,7.775459,7.5042787,0
7.1969886,7.6695867,7.769683,0
9.462241,9.581645,5.677189,0
8.959803,7.8509912,4.961428,0
9.440803,9.004631,5.339235,0
7.911505,9.430842,4.7330465,0
9.012884,8.926601,6.021133,0
9.603866,9.252365,5.0106416,0
8.990229,8.223804,4.4827175,0
6.902296,9.240095,5.5903664,0
9.037826,9.37832,5.8005805,0
7.9660373,8.190819,6.4371285,0
8.743175,8.879315,4.1237717,0
8.461898,7.2353935,5.5503316,1
7.500102,7.7850094,7.1873403,0
8.815634,8.560024,4.2886095,0
7.0910263,8.369764,7.255729,0
7.051129,7.820287,7.021791,0
6.1651497,9.0582075,4.7238765,0
6.1487665,8.42144,5.0494356,0
8.910556,8.559475,6.451278,0
8.121363,10.078557,6.270019,0
8.718157,9.526434,6.3472805,0
7.160531,8.232952,7.061454,0
7.4601974,6.898943,7.537054,0
9.311423,8.576101,6.04587,0
8.892037,8.817318,4.441128,0
7.9782386,7.573604,5.621073,0
9.102074,8.225758,5.2608695,0
8.208711,9.121058,5.674115,0
9.337979,8.057702,4.9736476,0
8.398168,7.868279,8.225874,0
8.51983,9.693366,5.164881,0
8.388056,6.936713,6.86477,0
8.555288,8.960844,4.4393516,0
6.6047,8.14342,6.0231256,0
8.755626,8.832868,4.558279,0
9.262742,8.699553,5.75259,0
7.220552,8.169526,7.587719,0
7.007154,7.841723,6.2077456,0
7.5730567,9.344332,6.0316577,1
6.35395,9.939818,4.5996203,1
7.9325366,6.3628397,7.189109,0
7.679058,7.63048,8.12411,0
7.010268,8.375128,6.6418586,0
6.0782046,8.689713,4.8726215,0
9.004738,8.6596365,6.4990478,1
7.853816,6.4372654,7.11929,0
9.575951,9.15186,5.018324,0
8.474603,9.025649,5.9794264,0
6.1337633,8.415182,4.858441,0
8.534735,6.94048,7.001725,0
8.902118,8.709778,4.875163,0
7.0466866,8.226314,6.476905,0
6.1630206,9.118775,5.200207,0
6.404431,9.918239,4.6984897,1
8.62904,7.228479,7.899663,0
6.194213,9.969634,4.516352,1
8.72424,9.117746,6.156247,0
6.653055,9.428981,5.283796,0
9.02274,7.1555834,6.7500463,1
9.11932,6.903738,7.0931187,1
