X,Y,Z,Digit
-0.7140391,4.070003,9.017319,5
2.6841588,-2.2844152,8.167009,0
1.4346613,6.921826,-0.08515493,4
-1.8575786,7.6982436,9.652667,1
1.6962904,9.566486,-0.36353496,9
3.522896,2.531969,8.405751,2
2.3474975,10.414349,10.726666,1
-0.59512776,3.722648,8.225639,3
1.566338,10.02758,9.790157,1
-0.8543629,5.9135365,2.2675443,4
0.24582317,3.0356216,8.135914,3
-4.04373,3.4857254,7.989364,5
1.7104295,4.116251,5.8587303,3
4.64967,-2.40026,1.7199931,6
1.2630572,10.449037,10.103926,1
-2.488184,10.874397,-0.73426,7
4.45687,1.6722742,6.640636,2
-3.4894211,3.4419415,5.37563,8
1.6822343,-1.1903173,4.0582976,6
-2.7433395,11.021901,-0.7707521,9
1.6565815,4.191987,5.7460527,4
2.7278216,-2.266469,8.729981,0
-1.1011902,7.836268,3.062996,9
-1.8651288,7.6736307,9.650082,1
0.5525496,8.678122,11.239925,1
3.0181038,3.6790051,8.548428,2
0.62393373,7.618583,2.5154274,4
-0.2683117,3.6193202,8.063867,3
2.3292165,4.0665417,7.333364,2
-1.8379865,7.606371,9.986897,7
1.1102152,4.110745,5.6679535,3
-3.7721999,3.5996597,5.784604,8
4.9908013,-1.9674413,2.3908281,6
-3.5928392,10.916448,-1.4757786,9
1.71521,-1.8293666,8.032354,0
-3.25313,2.9988573,8.440125,5
2.090792,-1.0633434,3.9865553,6
1.9268256,-1.916484,8.237869,0
0.3812253,9.065019,3.2246852,7
2.525724,-1.3090222,4.0594425,6
0.5686843,9.486014,9.8531275,1
-2.9115365,2.976532,5.4662066,8
-0.035345994,10.569431,-0.11303388,7
-1.124753,8.199556,3.3488882,9
-0.58729017,4.3814683,6.578898,3
-1.1241417,10.711655,0.32985136,9
-1.9909471,3.5800407,5.1019874,8
-3.6883893,3.2086985,7.7574863,5
-0.8029093,3.744171,6.2766275,9
-0.5319187,3.8982687,7.9742384,3
0.40912002,2.6911542,7.539957,3
3.1350245,-2.5919588,8.470576,0
0.05256948,10.079666,-0.67364484,7
-2.7117572,11.065892,-0.7324613,4
-0.024911473,10.230486,0.1630011,9
-3.2953386,4.1359906,5.376233,8
3.535191,-2.7359555,7.03245,0
-2.099964,11.005288,-0.2966714,9
1.5175085,6.7644835,1.5709484,4
-1.7701827,7.0346947,11.740673,1
1.219909,6.482423,0.8202912,4
-1.441355,7.420015,3.2428818,4
-1.5133373,1.8147365,6.6719713,6
2.99718,-2.199662,8.786638,0
0.29677793,6.4783936,1.4744043,4
-4.2554083,3.8761895,7.712494,5
4.6905384,-2.5017183,1.1977594,6
-0.960205,8.858805,10.255646,1
4.3177323,-2.395997,6.740479,0
1.8418502,-2.3058293,7.2980785,0
1.5367227,9.580943,10.831612,1
-3.4813006,10.679177,-2.105581,7
0.920929,10.209246,10.935884,1
4.953418,-2.0351746,2.2714856,6
-0.26149407,3.938071,7.0429015,3
2.002802,-2.131433,8.070407,0
3.3562517,3.7743497,7.8052397,2
-1.5479825,8.207866,9.800258,1
-0.9781306,8.055018,11.910271,1
-3.3652618,10.934992,-1.2786765,7
1.9448045,-2.3693142,7.003057,9
2.007079,-2.0333874,8.089127,0
3.7203794,2.8772955,8.930881,2
4.7815485,-2.1478748,2.3181489,6
0.4330243,9.99724,-0.9954884,7
-3.0599432,3.373676,5.41659,8
1.3197912,4.097987,5.847309,3
-2.4548316,10.885996,-0.64241785,9
3.184883,-2.7326217,7.146478,0
-1.1966338,6.7134895,1.9141022,4
4.4593472,-2.6805766,1.1787118,6
-3.6147494,10.7439575,-1.9890242,7
1.5781254,6.715814,1.891189,4
2.0894618,-1.3541528,4.06788,6
-3.0230534,3.6428783,4.961267,8
1.7970078,-2.1536767,7.945946,0
-0.3107508,10.649472,-0.29186743,7
-3.2048507,3.5600688,5.3438973,8
-0.38585877,3.8851283,7.135823,3
-1.4404985,8.157209,9.774782,1
1.6829106,7.6589603,1.8845595,5
0.3783569,8.5429535,-0.95162934,7
1.2218602,10.310925,10.762338,1
-1.5961574,10.720552,-0.47088116,7
2.3523488,10.725095,10.3877945,1
-1.2152853,7.745772,11.850243,1
2.3521125,-1.1644161,4.3462768,6
0.062812544,3.0626981,8.901223,3
4.319219,-2.370725,6.7411795,0
6.3165307,3.1309147,7.0468874,2
2.6398358,7.0525126,0.94018644,9
-0.35539427,3.6336477,9.352343,3
1.1635687,9.120561,10.980882,1
-1.6791055,7.616435,12.121871,1
4.429903,-2.0753334,7.572563,0
-0.79382026,6.6760564,2.258911,4
0.7093693,9.970032,0.37097213,9
3.632658,2.565698,8.255933,2
2.5194135,-2.4069731,7.543967,0
2.944596,-2.1385226,9.021266,0
2.8909976,3.5332928,7.134921,2
4.487286,-2.2168143,7.5485654,0
4.3043294,2.8026364,9.168643,2
-3.3973012,10.639212,-2.170037,7
-0.006783116,9.520974,10.450484,1
-2.7982821,2.9934757,5.3661685,8
1.7597606,-1.2887874,4.1896844,6
-1.7527223,6.293959,1.8817074,4
1.1855853,9.449137,11.258544,1
1.3645406,-1.531246,3.8984625,6
-0.28259292,4.145757,7.5647044,3
-1.5337754,7.3257995,2.8861053,4
-0.3174432,2.741057,7.8874974,5
-1.0901599,10.848165,0.30365604,9
2.6553807,10.860572,10.099303,1
-0.08479555,2.866074,10.538567,3
-0.2286272,3.7518966,6.579076,3
-3.204445,3.2318,5.0822887,8
-0.93339276,2.246989,7.3469543,5
-0.54868025,6.6490684,2.6597397,4
-0.8463651,8.74071,3.9330723,7
-3.8354602,10.900018,-1.6906484,7
0.19259593,7.1603756,2.4943414,4
3.5991638,3.0305448,7.246705,2
-1.168998,3.4321854,5.4344897,8
-4.0803037,3.591357,7.8473754,5
-3.10886,3.2498395,5.541822,8
2.3526728,-1.153961,4.0022545,6
-0.5239442,7.7741427,2.8887334,7
0.32391244,3.798974,6.7630215,3
0.7466712,7.0009427,3.0103378,4
4.63578,-2.4979165,1.4000252,6
0.1252482,9.497965,11.398231,1
-2.6673791,11.027131,-0.71857166,9
0.6164795,10.015401,-0.020805363,9
4.619476,-2.5450032,1.2587706,6
4.325552,-1.8722999,7.904694,0
0.08227415,2.9142914,9.2800665,3
2.201804,8.620373,-1.1518853,7
4.30352,2.6193144,7.193019,2
-1.7222084,3.31201,5.016607,8
3.0262744,3.3439763,8.709224,2
0.8425484,8.326973,2.0984466,9
-0.89525956,6.597983,2.852381,4
1.796661,6.301179,1.2332029,4
4.710876,-2.4823132,1.3402277,6
-0.23334731,6.6782284,2.63656,4
-2.1263576,10.824867,-0.3490698,9
-0.65542173,9.024929,3.7983818,7
1.7201594,-2.1183553,7.8237925,0
1.3734645,9.78303,-0.075769864,9
4.3095384,2.5913007,7.181757,2
0.27822983,10.119155,0.08203544,9
-3.6233268,3.351558,8.543241,5
0.48264456,9.270936,9.924502,1
-4.0909944,3.6424055,7.864871,5
1.6719874,9.55785,-0.47887772,9
-1.236655,8.536983,9.714791,1
2.4125519,-1.8510334,8.872288,2
-0.53088814,3.4495924,8.390113,3
1.233404,9.153787,11.071331,2
-0.6802632,3.8082669,8.836958,3
-0.52264714,2.3954835,7.0439997,5
-1.5770956,10.834385,0.05393432,9
2.0252633,10.696498,10.5756645,1
0.015515073,9.089967,-1.045154,7
3.25106,-1.207066,4.5506926,6
3.5947323,3.1889446,8.520752,2
-1.7386565,3.7309372,5.1685047,8
4.3467546,2.4979973,7.117666,2
3.8644779,2.9206152,9.342839,2
-4.1931396,3.802316,7.781831,5
2.1624675,-2.2872696,7.679396,0
-0.9825252,9.435431,-0.240916,7
1.209594,6.7023826,1.6890304,4
-1.6659857,8.159946,3.2729094,9
0.60238177,8.865206,-3.1265457,7
-3.6559362,3.4796891,5.5504293,8
0.7566687,3.7416437,6.6138864,3
3.5490987,2.3652031,8.161858,2
2.0898218,10.463365,10.747274,1
-1.9161354,7.580988,9.618756,1
-2.4515398,1.901625,7.8952556,8
-0.65699804,3.6638124,8.645004,3
5.2576084,-1.5383167,3.0062273,6
-1.9997804,7.216097,11.968658,1
3.6117656,-2.8818972,8.359066,0
-2.518128,3.1138585,8.553925,3
0.37501276,8.772582,11.525413,1
3.9577096,-2.4980974,7.112285,0
2.3465686,-2.6823807,7.319947,0
0.32409367,8.943949,11.530128,1
1.6598526,9.969092,9.869893,7
3.3402503,2.886459,9.16762,2
0.5119493,9.405607,-1.5860506,7
0.162954,2.734245,9.077279,3
2.0847936,-2.528874,7.0362086,0
0.794567,6.804309,2.2926462,4
2.8496068,-1.363654,4.3501487,6
-2.711971,2.8119736,8.594282,5
3.4227648,3.8964014,7.721724,2
4.6619477,-2.0448985,2.845893,6
2.046127,6.09573,1.223171,4
-1.7140616,10.664371,-0.42301366,7
-1.1063488,8.321534,3.9297225,1
-3.110132,2.9592762,5.825616,8
1.5473331,9.640279,-0.34245157,9
-0.25728735,8.240901,2.743765,9
-0.40417963,3.4700933,5.4932985,3
4.163349,-2.4668827,6.888783,0
-2.2663524,10.9484,-0.733038,7
0.12132986,9.442328,11.582571,1
1.5293068,-1.9962544,7.0506377,0
2.961128,2.6074097,9.579521,2
2.0307603,-2.3719745,7.723136,0
0.120187216,2.7157092,8.961634,3
-3.125842,2.6546566,7.7134027,5
0.60424143,6.7614236,2.0419781,4
2.4193053,-1.4023621,4.2807636,6
-3.0388732,3.0887256,8.551121,5
-2.3888552,2.9112897,4.872282,8
10.300153,6.5651984,6.8831463,6
0.31620818,2.512528,8.542748,3
-1.5430459,10.555445,-0.5104623,7
-0.9225987,2.7438645,6.6897106,5
-3.2640905,3.3756611,5.408884,8
3.8024387,-2.7205484,6.98998,0
-0.2573971,8.300264,2.8325253,9
2.466805,10.657078,10.409711,1
4.3272853,-2.378801,6.872557,0
-0.034357406,9.324016,-1.0993037,3
0.40374327,8.830661,11.557099,1
4.3504806,2.9987724,7.4242706,2
1.7835262,2.1991968,10.079139,2
0.09390576,2.591906,7.4954205,3
0.5052876,2.4168816,9.521033,3
0.90590715,-1.3844602,3.7703006,6
-0.38608223,6.3626714,2.3898628,4
-0.6886457,8.771366,3.6710556,7
0.84092224,2.0719986,9.841954,5
4.6543117,-1.8191767,7.2292557,0
4.8076987,-2.09302,2.4091203,6
0.88801306,2.7134652,8.44586,2
-1.5504345,10.566896,-0.4859001,7
2.0923164,6.2651067,1.4740089,9
-3.3706646,3.5863352,5.55914,8
-1.3699604,2.0891407,7.227537,5
-0.15762797,8.420246,2.6959703,9
3.6794877,2.9965723,7.129968,2
-0.7477492,8.759481,11.782695,1
-0.031582784,9.544637,10.987175,1
0.12905551,6.772296,2.7128973,4
0.20714222,6.96201,1.2880256,4
0.9634455,2.1099122,9.849219,5
1.0790144,-1.3900324,3.8031673,6
0.100989684,6.6068983,2.355486,4
0.3170333,8.633764,11.006361,1
2.3080854,2.3197033,9.866256,2
0.03544284,2.1216166,7.9630117,5
-0.579672,3.583102,8.286547,3
-0.72933054,10.664304,0.42677575,9
0.17517932,2.815504,9.538737,3
1.0850621,8.622931,-2.7714849,9
3.820277,-2.4882424,7.38716,0
0.34729686,3.427976,6.53294,5
-0.122063346,8.276625,2.8850207,9
2.0652144,-1.4133904,4.1054378,6
-3.2382426,3.127705,8.660672,5
0.5278882,10.129186,-0.5380757,7
0.08612156,6.6719627,2.5257285,4
-0.3811413,8.440729,11.425555,1
0.11255106,2.860879,8.895287,3
0.7051532,7.2165394,2.793035,4
2.9254391,-2.4110982,7.837885,0
2.7405918,5.72276,1.0314258,4
-3.2286649,2.9249165,5.5398116,8
2.5248446,-2.4819298,7.211117,0
-0.3935294,6.3072853,2.3016233,4
0.16483298,3.6360707,6.559845,3
4.676978,-2.0700188,2.7072148,6
-2.548821,3.2742634,4.817302,8
-2.1145072,10.81796,-0.6343668,7
4.85307,-2.2564282,1.6962484,6
2.7785122,-2.262372,8.28035,0
1.2293527,9.868765,-0.21572727,9
-2.3132937,10.914636,-0.7150982,7
0.23773852,2.476433,6.801732,5
-1.7517183,10.902573,-0.5000498,7
3.0493362,2.995895,8.911687,2
-1.2272243,8.325252,11.831592,1
1.2119405,9.111495,10.899352,1
4.799177,-2.0270925,2.6160948,6
-1.834316,3.4259124,5.060731,8
-0.49540892,8.247841,2.8756564,9
0.8754398,6.6826687,1.6678334,4
-1.3225728,7.543045,11.832909,1
-0.13838914,3.1755595,6.4406505,5
2.8182683,2.274831,9.693612,2
-1.7928952,7.0718827,9.90619,2
-1.2917383,8.0634775,2.9835522,9
2.0096593,-2.3816707,7.3794403,0
0.08334038,2.7298603,8.730538,3
1.6379359,7.591837,1.1692141,9
10.672649,6.4426403,3.767006,6
-0.14941356,10.424383,-0.41481432,7
2.7061172,2.446236,9.413898,2
2.3202338,-2.3687024,7.5982547,0
-0.08263589,2.8143883,10.611394,3
-2.0211236,2.9589653,7.3439393,5
0.14044283,-1.9248583,3.831131,4
0.54231334,2.6790946,7.4874406,3
4.884676,-2.0641387,2.3138492,6
-1.4740587,2.2014623,7.29375,5
-2.0126615,3.3596587,5.711725,8
1.538688,7.3612413,1.5175068,9
-3.3725858,3.0658212,8.539417,5
0.45940816,7.199507,2.4429803,4
-2.2926126,10.753212,-0.7018217,7
0.26979864,6.8798494,1.9716189,4
2.6330893,2.4596531,9.748853,2
0.18332344,8.371454,2.385821,7
0.4997847,2.450895,9.5933895,3
0.5245715,7.4073987,2.843536,4
-3.3162124,2.9698267,5.5964475,8
1.7130097,7.8406596,1.6081672,9
-1.3671473,7.5516315,11.82292,1
-0.77054644,3.890345,7.6121545,9
2.7350729,2.3898513,9.658223,2
-2.2545462,3.0356803,5.2000566,8
-2.0015965,10.70871,-0.74216735,7
1.3033227,8.01845,1.7585176,9
-1.4749421,7.2804327,11.811112,1
-0.7577529,2.5673761,6.081701,8
-1.3422713,8.786782,3.703711,7
0.99047226,7.490247,2.3552926,4
-1.7342446,7.5705857,12.033769,1
0.13388284,4.095186,6.946141,3
-1.1830297,7.657877,11.933219,1
2.10316,10.735649,10.471299,1
3.1265912,-2.3847098,7.84378,0
4.254666,3.6555514,7.9927006,2
-0.5638226,3.4930844,8.475396,3
0.74046403,8.188323,2.1614785,9
-0.3160611,6.615369,2.845078,4
0.0060083717,8.004663,2.3472416,9
2.7842622,2.9050672,9.26014,2
0.7360692,10.078902,10.980676,1
4.7503357,-2.01324,2.7641487,6
-2.7077646,2.727441,5.1750236,8
-0.20642264,6.7075872,2.1107984,4
0.09977206,8.86523,3.6519742,7
-1.545641,10.4799795,-0.54061234,7
0.7521419,7.151196,2.2312338,4
-0.2116761,6.475467,2.3746712,4
1.74081,7.9249177,1.6908538,9
2.7761793,2.42448,9.655641,2
-1.6609703,2.809123,5.47051,5
-2.3371978,10.763463,-0.7123885,7
3.8552983,3.458825,8.688823,2
-0.5039712,6.544764,2.7688606,4
1.4833219,6.304096,1.2680869,4
2.9640777,2.6504562,9.366564,2
1.3658131,10.232696,10.929587,1
-1.0124238,8.325469,2.438994,9
1.3001165,6.178448,2.5772328,7
2.0253882,2.3386915,10.052941,2
-0.5547022,3.3235426,5.7808213,8
-2.621607,10.876315,-0.9049339,7
4.991202,-2.1019344,1.7452872,6
-0.7429137,8.065204,2.771424,9
2.8574076,3.9282918,8.671216,2
2.8423548,2.3604484,9.670355,2
0.9846387,3.9131615,6.191568,3
-3.789109,3.6880343,5.6956334,8
2.0122478,10.4802885,10.56754,1
4.726994,-2.1594112,2.3762197,6
-1.1981165,2.9319038,7.460179,5
-1.8185512,7.5880275,12.000592,1
1.9444486,9.726019,10.845058,1
3.0337157,-2.0818698,8.450561,0
4.57361,3.3295813,8.276457,2
4.903829,-2.2091835,1.7153224,6
0.013499208,6.804008,1.9573997,4
-2.785982,2.857304,8.640865,5
-0.071213625,3.6359382,6.73594,8
0.48721716,2.4263008,9.524529,3
2.2506762,10.452616,10.5139885,1
-2.8022406,2.881906,8.624554,5
0.5255025,9.362398,10.0675745,1
-1.5070955,8.0573,2.9787083,9
4.320812,3.1382,8.342975,2
-2.2314801,10.921974,-0.71266264,7
-0.120290875,7.649474,2.997478,4
-0.46932793,6.3503504,2.4263356,4
1.2947118,6.801702,2.740453,4
-3.8031433,3.7761433,5.8586173,8
-0.5903495,8.113835,11.842225,1
-3.7432191,3.6113296,8.599098,5
-4.339376,3.9914773,7.6997547,8
-1.174725,8.257353,2.8879926,9
-1.9974455,3.60938,7.2914333,5
4.6994095,-2.3578668,1.7736986,6
-0.50809306,9.4586525,-3.25152,7
-1.2382085,8.116002,3.0575068,9
2.8328626,6.5909686,0.66244507,9
-2.4670174,3.03247,8.642226,3
0.09703445,9.361058,-1.1334783,7
3.1259851,-2.3784463,8.647883,0
1.8639413,7.759068,1.5689309,9
3.91864,-2.475042,7.31575,0
1.8118588,-1.2474116,4.0895185,6
4.8805127,-2.1155818,2.1581092,6
3.890784,3.007534,8.8607645,2
0.13194308,2.8035734,8.72611,3
2.4800172,7.0792108,0.8825552,9
4.4104104,-2.1639187,7.4502068,0
-0.041132737,8.816772,2.5918138,7
-3.3638542,3.1204572,8.666479,5
1.2696316,6.774039,1.8774264,4
-3.5855002,3.2963834,5.846397,8
3.8397474,-2.6234953,6.904968,0
-0.59258974,8.311275,2.9380267,9
0.43827096,6.9334426,2.263943,4
-1.7744513,7.53393,11.950474,1
2.3694708,4.0878134,7.801315,2
-3.402729,3.517691,5.51452,8
0.6052556,9.764052,0.28756598,7
-1.8200159,7.5710034,12.003465,1
-0.054467738,2.6508489,10.740372,2
2.495908,-1.4368656,4.090474,6
0.8061089,9.273528,11.235217,1
5.12072,3.8823063,7.556287,0
0.40365905,2.429518,7.2935944,3
4.243308,-1.8634807,8.130641,0
1.1019536,9.584279,9.805554,1
-1.6876814,7.9887214,9.826334,1
-2.7568064,3.2863293,4.9236655,8
