X,Y,Z,Digit
12.117073,2.4014397,11.208966,0
12.124564,4.441707,10.098755,0
11.135811,5.86964,9.566939,0
10.64046,6.5499287,8.949004,0
10.734717,6.1198683,8.9803915,0
10.67733,5.479479,8.90219,0
10.699984,5.2700744,8.937428,0
10.640566,6.1604323,8.869893,0
9.707866,7.885856,7.4580984,1
9.690203,8.025385,7.3498707,1
9.613669,8.418435,6.9776053,1
9.266541,9.368904,5.938367,1
8.677642,9.683867,5.730739,1
8.07121,10.596914,5.1037383,1
7.9703,10.847057,4.987086,1
7.9595385,10.818591,5.010749,1
8.1283865,9.636041,5.5890956,1
8.771248,8.335028,7.0750666,1
10.744587,4.809016,9.577469,0
11.275009,3.9250252,11.128285,0
11.082536,4.6591754,10.255018,0
11.238849,4.3153305,10.328422,0
11.10004,3.357108,10.758008,0
11.796755,2.2575939,11.68345,0
11.703759,3.3749242,10.842512,0
11.632426,3.192426,11.289622,0
11.563149,3.2343347,11.325864,0
11.475439,3.2745044,11.27806,0
11.395395,3.2352448,11.374518,0
11.510957,3.9890637,11.027487,0
11.491838,4.2326107,10.588945,0
11.827485,4.3949866,10.178154,0
11.633121,4.5084324,10.108426,0
10.796072,5.5229,10.169049,0
10.616037,5.354963,10.353185,0
10.595971,5.3025985,10.226844,0
10.6342125,4.713425,10.263746,0
11.005485,4.187283,10.7560425,0
10.779421,4.7374034,10.759433,0
10.711528,5.1777115,10.426351,0
10.673517,5.4167604,10.260868,0
10.529125,6.633531,9.232022,0
10.227664,6.9846225,8.513638,0
10.146262,8.207401,6.656247,1
8.772455,9.04877,4.629908,1
9.247359,7.841407,6.7116914,1
10.097968,6.669298,8.033043,0
8.655367,9.887949,6.311679,0
8.40052,10.998168,3.9612656,0
7.9258585,11.364357,3.5705671,0
6.831639,10.386239,2.5424,1
6.0345325,9.627722,1.462296,1
5.491983,9.5862665,1.0474055,1
5.3143034,9.5139475,1.0252225,1
11.487365,1.6897768,11.432452,0
12.315669,2.7428854,11.103357,0
12.254887,4.315347,10.15057,0
12.017309,4.6640167,9.995657,0
10.6064625,5.3797474,9.0000925,0
10.586246,5.2538867,9.007031,0
10.593145,5.245147,9.036559,0
10.599828,5.254497,9.040814,0
10.677722,5.719954,9.020938,0
9.555607,8.029091,7.405756,1
9.378765,8.73617,6.958989,1
9.347689,8.859657,6.826977,1
9.334782,8.885213,6.828952,1
9.284035,8.907345,6.646714,1
8.544833,11.276808,4.2326894,1
8.283668,11.392745,4.1921515,1
7.355033,10.620462,3.0625439,1
7.2468295,10.525373,2.9597182,1
2.2178173,5.410404,6.938165,1
2.5665941,5.009341,6.96386,0
9.383699,4.6126475,9.938976,0
11.066375,3.9539366,10.950164,0
11.003435,4.610314,10.786679,0
11.285195,4.2659416,10.311884,0
11.211208,3.6625931,10.661549,0
11.46533,3.01709,11.34135,0
11.494986,2.801709,11.654113,0
11.501499,2.7177756,11.713133,0
11.64533,2.4079568,11.692179,0
11.89102,2.7282212,11.4969,0
11.759042,3.0428622,11.412008,0
11.628236,3.0789413,11.568744,0
11.4745,3.1700444,11.636704,0
11.355344,3.4530962,11.590279,0
11.254964,3.5960908,11.269732,0
11.376809,3.6757474,11.247773,0
11.101439,4.1059003,11.15503,0
11.070105,4.1939387,10.985684,0
10.926485,4.2468543,10.713956,0
11.5761595,4.2306347,10.592625,0
11.480788,4.6521273,9.99263,0
11.305984,5.178838,10.002048,0
10.685662,5.8082557,9.864019,0
10.623358,5.180608,10.1873455,0
10.575591,5.234341,10.5366745,0
10.652538,5.0873337,10.507156,0
10.607834,5.501838,10.280613,0
10.669497,5.7847447,10.001622,0
10.408455,6.9755397,8.35868,0
10.120123,8.098705,6.4323096,0
10.6076565,5.9112577,8.803892,0
10.513456,6.7451005,8.383174,0
10.048781,8.401107,5.947515,0
8.697361,10.73902,4.2916083,0
7.731443,10.925717,3.4751103,0
7.301222,10.681244,3.0567636,1
6.772547,10.428841,2.365718,1
6.0393085,9.728382,1.4602431,1
5.748089,9.777916,1.187006,1
5.593237,9.700379,1.0983013,1
5.409074,9.565021,1.0375478,1
11.236311,1.9059695,11.561373,0
11.240018,1.9263378,11.567376,0
11.661926,1.9824998,11.57179,0
12.312292,2.6275687,11.102308,0
12.226507,4.3050637,10.170806,0
11.129911,5.3956237,9.716873,0
10.606317,5.4032564,9.016226,0
10.573295,5.2926908,9.016015,0
